Table,Column/Variable Name,Column Type,Description 1,Description 2,Description 3,Description 4,Description 5
T5,T5_est104,Detail,Renter occupied, AND has none of the 4 housing unit problems, AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household contains no one age 62+,
T5,T5_est105,Subtotal,Renter occupied, AND has none of the 4 housing unit problems, AND household income is greater than 100% of HAMFI,,
T5,T5_est106,Detail,Renter occupied, AND has none of the 4 housing unit problems, AND household income is greater than 100% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est107,Detail,Renter occupied, AND has none of the 4 housing unit problems, AND household income is greater than 100% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est108,Detail,Renter occupied, AND has none of the 4 housing unit problems, AND household income is greater than 100% of HAMFI, AND household contains no one age 62+,
T5,T5_est109,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems",,,
T5,T5_est110,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is less than or equal to 30% of HAMFI,,
T5,T5_est111,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is less than or equal to 30% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est112,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is less than or equal to 30% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est113,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is less than or equal to 30% of HAMFI, AND household contains no one age 62+,
T5,T5_est114,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 30% but less than or equal to 50% of HAMFI,,
T5,T5_est115,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est116,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est117,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 30% but less than or equal to 50% of HAMFI, AND household contains no one age 62+,
T5,T5_est118,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 50% but less than or equal to 80% of HAMFI,,
T5,T5_est119,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est120,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est121,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 50% but less than or equal to 80% of HAMFI, AND household contains no one age 62+,
T5,T5_est122,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 80% but less than or equal to 100% of HAMFI,,
T5,T5_est123,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est124,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est125,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 80% but less than or equal to 100% of HAMFI, AND household contains no one age 62+,
T5,T5_est126,Subtotal,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 100% of HAMFI,,
T5,T5_est127,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 100% of HAMFI, AND household contains at least 1 person age 62-74 but no one age 75+,
T5,T5_est128,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 100% of HAMFI, AND household contains at least 1 person age 75+,
T5,T5_est129,Detail,Renter occupied," AND cost burden not computed, household has none of the other housing problems ", AND household income is greater than 100% of HAMFI, AND household contains no one age 62+,
T5,T5_moe1,MOE,Margin of error for estimate T5_est1,,,,
T5,T5_moe2,MOE,Margin of error for estimate T5_est2,,,,
T5,T5_moe3,MOE,Margin of error for estimate T5_est3,,,,
T5,T5_moe4,MOE,Margin of error for estimate T5_est4,,,,
T5,T5_moe5,MOE,Margin of error for estimate T5_est5,,,,
T5,T5_moe6,MOE,Margin of error for estimate T5_est6,,,,
T5,T5_moe7,MOE,Margin of error for estimate T5_est7,,,,
T5,T5_moe8,MOE,Margin of error for estimate T5_est8,,,,
T5,T5_moe9,MOE,Margin of error for estimate T5_est9,,,,
T5,T5_moe10,MOE,Margin of error for estimate T5_est10,,,,
T5,T5_moe11,MOE,Margin of error for estimate T5_est11,,,,
T5,T5_moe12,MOE,Margin of error for estimate T5_est12,,,,
T5,T5_moe13,MOE,Margin of error for estimate T5_est13,,,,
T5,T5_moe14,MOE,Margin of error for estimate T5_est14,,,,
T5,T5_moe15,MOE,Margin of error for estimate T5_est15,,,,
T5,T5_moe16,MOE,Margin of error for estimate T5_est16,,,,
T5,T5_moe17,MOE,Margin of error for estimate T5_est17,,,,
T5,T5_moe18,MOE,Margin of error for estimate T5_est18,,,,
T5,T5_moe19,MOE,Margin of error for estimate T5_est19,,,,
T5,T5_moe20,MOE,Margin of error for estimate T5_est20,,,,
T5,T5_moe21,MOE,Margin of error for estimate T5_est21,,,,
T5,T5_moe22,MOE,Margin of error for estimate T5_est22,,,,
T5,T5_moe23,MOE,Margin of error for estimate T5_est23,,,,
T5,T5_moe24,MOE,Margin of error for estimate T5_est24,,,,
T5,T5_moe25,MOE,Margin of error for estimate T5_est25,,,,
T5,T5_moe26,MOE,Margin of error for estimate T5_est26,,,,
T5,T5_moe27,MOE,Margin of error for estimate T5_est27,,,,
T5,T5_moe28,MOE,Margin of error for estimate T5_est28,,,,
T5,T5_moe29,MOE,Margin of error for estimate T5_est29,,,,
T5,T5_moe30,MOE,Margin of error for estimate T5_est30,,,,
T5,T5_moe31,MOE,Margin of error for estimate T5_est31,,,,
T5,T5_moe32,MOE,Margin of error for estimate T5_est32,,,,
T5,T5_moe33,MOE,Margin of error for estimate T5_est33,,,,
T5,T5_moe34,MOE,Margin of error for estimate T5_est34,,,,
T5,T5_moe35,MOE,Margin of error for estimate T5_est35,,,,
T5,T5_moe36,MOE,Margin of error for estimate T5_est36,,,,
T5,T5_moe37,MOE,Margin of error for estimate T5_est37,,,,
T5,T5_moe38,MOE,Margin of error for estimate T5_est38,,,,
T5,T5_moe39,MOE,Margin of error for estimate T5_est39,,,,
T5,T5_moe40,MOE,Margin of error for estimate T5_est40,,,,
T5,T5_moe41,MOE,Margin of error for estimate T5_est41,,,,
T5,T5_moe42,MOE,Margin of error for estimate T5_est42,,,,
T5,T5_moe43,MOE,Margin of error for estimate T5_est43,,,,
T5,T5_moe44,MOE,Margin of error for estimate T5_est44,,,,
T5,T5_moe45,MOE,Margin of error for estimate T5_est45,,,,
T5,T5_moe46,MOE,Margin of error for estimate T5_est46,,,,
T5,T5_moe47,MOE,Margin of error for estimate T5_est47,,,,
T5,T5_moe48,MOE,Margin of error for estimate T5_est48,,,,
T5,T5_moe49,MOE,Margin of error for estimate T5_est49,,,,
T5,T5_moe50,MOE,Margin of error for estimate T5_est50,,,,
T5,T5_moe51,MOE,Margin of error for estimate T5_est51,,,,
T5,T5_moe52,MOE,Margin of error for estimate T5_est52,,,,
T5,T5_moe53,MOE,Margin of error for estimate T5_est53,,,,
T5,T5_moe54,MOE,Margin of error for estimate T5_est54,,,,
T5,T5_moe55,MOE,Margin of error for estimate T5_est55,,,,
T5,T5_moe56,MOE,Margin of error for estimate T5_est56,,,,
T5,T5_moe57,MOE,Margin of error for estimate T5_est57,,,,
T5,T5_moe58,MOE,Margin of error for estimate T5_est58,,,,
T5,T5_moe59,MOE,Margin of error for estimate T5_est59,,,,
T5,T5_moe60,MOE,Margin of error for estimate T5_est60,,,,
T5,T5_moe61,MOE,Margin of error for estimate T5_est61,,,,
T5,T5_moe62,MOE,Margin of error for estimate T5_est62,,,,
T5,T5_moe63,MOE,Margin of error for estimate T5_est63,,,,
T5,T5_moe64,MOE,Margin of error for estimate T5_est64,,,,
T5,T5_moe65,MOE,Margin of error for estimate T5_est65,,,,
T5,T5_moe66,MOE,Margin of error for estimate T5_est66,,,,
T5,T5_moe67,MOE,Margin of error for estimate T5_est67,,,,
T5,T5_moe68,MOE,Margin of error for estimate T5_est68,,,,
T5,T5_moe69,MOE,Margin of error for estimate T5_est69,,,,
T5,T5_moe70,MOE,Margin of error for estimate T5_est70,,,,
T5,T5_moe71,MOE,Margin of error for estimate T5_est71,,,,
T5,T5_moe72,MOE,Margin of error for estimate T5_est72,,,,
T5,T5_moe73,MOE,Margin of error for estimate T5_est73,,,,
T5,T5_moe74,MOE,Margin of error for estimate T5_est74,,,,
T5,T5_moe75,MOE,Margin of error for estimate T5_est75,,,,
T5,T5_moe76,MOE,Margin of error for estimate T5_est76,,,,
T5,T5_moe77,MOE,Margin of error for estimate T5_est77,,,,
T5,T5_moe78,MOE,Margin of error for estimate T5_est78,,,,
T5,T5_moe79,MOE,Margin of error for estimate T5_est79,,,,
T5,T5_moe80,MOE,Margin of error for estimate T5_est80,,,,
T5,T5_moe81,MOE,Margin of error for estimate T5_est81,,,,
T5,T5_moe82,MOE,Margin of error for estimate T5_est82,,,,
T5,T5_moe83,MOE,Margin of error for estimate T5_est83,,,,
T5,T5_moe84,MOE,Margin of error for estimate T5_est84,,,,
T5,T5_moe85,MOE,Margin of error for estimate T5_est85,,,,
T5,T5_moe86,MOE,Margin of error for estimate T5_est86,,,,
T5,T5_moe87,MOE,Margin of error for estimate T5_est87,,,,
T5,T5_moe88,MOE,Margin of error for estimate T5_est88,,,,
T5,T5_moe89,MOE,Margin of error for estimate T5_est89,,,,
T5,T5_moe90,MOE,Margin of error for estimate T5_est90,,,,
T5,T5_moe91,MOE,Margin of error for estimate T5_est91,,,,
T5,T5_moe92,MOE,Margin of error for estimate T5_est92,,,,
T5,T5_moe93,MOE,Margin of error for estimate T5_est93,,,,
T5,T5_moe94,MOE,Margin of error for estimate T5_est94,,,,
T5,T5_moe95,MOE,Margin of error for estimate T5_est95,,,,
T5,T5_moe96,MOE,Margin of error for estimate T5_est96,,,,
T5,T5_moe97,MOE,Margin of error for estimate T5_est97,,,,
T5,T5_moe98,MOE,Margin of error for estimate T5_est98,,,,
T5,T5_moe99,MOE,Margin of error for estimate T5_est99,,,,
T5,T5_moe100,MOE,Margin of error for estimate T5_est100,,,,
T5,T5_moe101,MOE,Margin of error for estimate T5_est101,,,,
T5,T5_moe102,MOE,Margin of error for estimate T5_est102,,,,
T5,T5_moe103,MOE,Margin of error for estimate T5_est103,,,,
T5,T5_moe104,MOE,Margin of error for estimate T5_est104,,,,
T5,T5_moe105,MOE,Margin of error for estimate T5_est105,,,,
T5,T5_moe106,MOE,Margin of error for estimate T5_est106,,,,
T5,T5_moe107,MOE,Margin of error for estimate T5_est107,,,,
T5,T5_moe108,MOE,Margin of error for estimate T5_est108,,,,
T5,T5_moe109,MOE,Margin of error for estimate T5_est109,,,,
T5,T5_moe110,MOE,Margin of error for estimate T5_est110,,,,
T5,T5_moe111,MOE,Margin of error for estimate T5_est111,,,,
T5,T5_moe112,MOE,Margin of error for estimate T5_est112,,,,
T5,T5_moe113,MOE,Margin of error for estimate T5_est113,,,,
T5,T5_moe114,MOE,Margin of error for estimate T5_est114,,,,
T5,T5_moe115,MOE,Margin of error for estimate T5_est115,,,,
T5,T5_moe116,MOE,Margin of error for estimate T5_est116,,,,
T5,T5_moe117,MOE,Margin of error for estimate T5_est117,,,,
T5,T5_moe118,MOE,Margin of error for estimate T5_est118,,,,
T5,T5_moe119,MOE,Margin of error for estimate T5_est119,,,,
T5,T5_moe120,MOE,Margin of error for estimate T5_est120,,,,
T5,T5_moe121,MOE,Margin of error for estimate T5_est121,,,,
T5,T5_moe122,MOE,Margin of error for estimate T5_est122,,,,
T5,T5_moe123,MOE,Margin of error for estimate T5_est123,,,,
T5,T5_moe124,MOE,Margin of error for estimate T5_est124,,,,
T5,T5_moe125,MOE,Margin of error for estimate T5_est125,,,,
T5,T5_moe126,MOE,Margin of error for estimate T5_est126,,,,
T5,T5_moe127,MOE,Margin of error for estimate T5_est127,,,,
T5,T5_moe128,MOE,Margin of error for estimate T5_est128,,,,
T5,T5_moe129,MOE,Margin of error for estimate T5_est129,,,,
T6,T6_est1,Total,Total: Occupied housing units,,,,
T6,T6_est2,Subtotal,Tenure: All,Household member has a hearing or vision impairment,,,
T6,T6_est3,Subtotal,Tenure: All,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est4,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est5,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est6,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est7,Subtotal,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est8,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est9,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est10,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est11,Subtotal,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est12,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est13,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est14,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est15,Subtotal,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI,,
T6,T6_est16,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est17,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est18,Detail,Tenure: All,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est19,Subtotal,Tenure: All,Household member has an ambulatory limitation,,,
T6,T6_est20,Subtotal,Tenure: All,Household member has an ambulatory limitation, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est21,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est22,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est23,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est24,Subtotal,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est25,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est26,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est27,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est28,Subtotal,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est29,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est30,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est31,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est32,Subtotal,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 80% of HAMFI,,
T6,T6_est33,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est34,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est35,Detail,Tenure: All,Household member has an ambulatory limitation, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est36,Subtotal,Tenure: All,Household member has a cognitive limitation,,,
T6,T6_est37,Subtotal,Tenure: All,Household member has a cognitive limitation, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est38,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est39,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est40,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est41,Subtotal,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est42,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est43,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est44,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est45,Subtotal,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est46,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est47,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est48,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est49,Subtotal,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 80% of HAMFI,,
T6,T6_est50,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est51,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est52,Detail,Tenure: All,Household member has a cognitive limitation, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est53,Subtotal,Tenure: All,Household member has a self-care or independent living limitation,,,
T6,T6_est54,Subtotal,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est55,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est56,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est57,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est58,Subtotal,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est59,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est60,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est61,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est62,Subtotal,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est63,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est64,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est65,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est66,Subtotal,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 80% of HAMFI,,
T6,T6_est67,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est68,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est69,Detail,Tenure: All,Household member has a self-care or independent living limitation, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est70,Subtotal,Tenure: All,Household member has none of the above limitations,,,
T6,T6_est71,Subtotal,Tenure: All,Household member has none of the above limitations, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est72,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est73,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est74,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est75,Subtotal,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est76,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est77,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est78,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est79,Subtotal,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est80,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est81,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est82,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est83,Subtotal,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 80% of HAMFI,,
T6,T6_est84,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est85,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est86,Detail,Tenure: All,Household member has none of the above limitations, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est87,Subtotal,Renter occupied,,,,
T6,T6_est88,Subtotal,Renter occupied,Household member has a hearing or vision impairment,,,
T6,T6_est89,Subtotal,Renter occupied,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI,,
T6,T6_est90,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est91,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est92,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is less than or equal to 30% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est93,Subtotal,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI,,
T6,T6_est94,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est95,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est96,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 30% but less than or equal to 50% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est97,Subtotal,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI,,
T6,T6_est98,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est99,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est100,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 50% but less than or equal to 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est101,Subtotal,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI,,
T6,T6_est102,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI, AND has 1 or more of the 4 housing unit problems,
T6,T6_est103,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI, AND has none of the 4 housing unit problems,
T6,T6_est104,Detail,Renter occupied,Household member has a hearing or vision impairment, AND Household income is greater than 80% of HAMFI," AND cost burden not computed, household has none of the other housing problems ",
T6,T6_est105,Subtotal,Renter occupied,Household member has an ambulatory limitation,,,
T6,T6_est106,Subtotal,Renter occupied,Household member has an ambulatory limitation, AND Household income is less than or equal to 30% of HAMFI,,
