Category,Code,Value,Year,Source,Notes,Geography
Household Income,,65847.0678,2010,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Total Population,B01003_001E,29496,2015,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29232,2014,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29256,2013,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29655,2012,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29838,2011,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,P0010001,6105,1990,dec/sf3,,Douglas County (Tahoe Basin)
Total Population,P001001,5344,2010,dec/sf1,,Douglas County (Tahoe Basin)
Total Population,P001001,6691,2000,dec/sf1,,Douglas County (Tahoe Basin)
Total Population,DP1_0001C,5593,2020,dec/dp,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5482,2021,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5472,2020,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5531,2019,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5104,2018,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5254,2017,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5273,2016,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,5152,2015,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,4944,2014,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,4733,2013,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,4243,2012,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,4036,2011,acs/acs5,,Douglas County (Tahoe Basin)
Total Population,B01003_001E,54497,2021,acs/acs5,,Basin
Total Population,B01003_001E,54674,2020,acs/acs5,,Basin
Total Population,B01003_001E,52339,2019,acs/acs5,,Basin
Total Population,B01003_001E,51577,2018,acs/acs5,,Basin
Total Population,B01003_001E,51631,2017,acs/acs5,,Basin
Total Population,B01003_001E,52115,2016,acs/acs5,,Basin
Total Population,B01003_001E,53255,2015,acs/acs5,,Basin
Total Population,B01003_001E,52590,2014,acs/acs5,,Basin
Total Population,B01003_001E,52668,2013,acs/acs5,,Basin
Median Household Income,,71586,2020,2020 ACS 5-year Estimate,,Basin
Median Age,,43.2,2020,2020 Decennial Census,,Basin
Employment,,24011,2020,2020 Decennial Census,,Basin
Employment,,21424,2010,2010 Decennial Census,,Basin
Employment,,27198,2000,2000 Decennial Census,,Basin
Total Population,,52591,1990,1990 Decennial Census,,Basin
Total Population,,62843,2000,2000 Decennial Census,,Basin
Total Population,,55607,2010,2010 Decennial Census,,Basin
Total Population,,55836,2020,2020 Decennial Census,,Basin
Households,,26071,2020,2020 Decennial Census,,Basin
Poverty Rate,,9,2019,2019 ACS 5-year Estimate,,Basin
Median Age,,44.2,2010,2010 Decennial Census,,Basin
Median Home Value,,658192,2010,2010 Decennial Census,,Basin
Median Household Income,,71593,2010,2010 Decennial Census,,Basin
Total Population,B01003_001,52096,2012,2012 ACS 5-year Estimate,,Basin
Total Population,B01003_001,51712,2011,2011 ACS 5-year Estimate,,Basin
Total Population,B01003_001E,30149,2018,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29666,2017,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,29711,2016,acs/acs5,,El Dorado County (Tahoe Basin)
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,23713,2013,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,24476,2014,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,24972,2015,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,26060,2016,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,26551,2017,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,26585,2018,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,25958,2019,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,23181,2011,acs/acs5,,Basin
"Vacant Housing Units: Seasonal, recreational, or occasional use",B25004_006E,23412,2012,acs/acs5,,Basin
Total Housing Units,B25001_001E,48986,2013,acs/acs5,,Basin
Total Housing Units,B25001_001E,49769,2014,acs/acs5,,Basin
Total Housing Units,B25001_001E,50484,2015,acs/acs5,,Basin
Total Housing Units,B25001_001E,50891,2016,acs/acs5,,Basin
Total Housing Units,B25001_001E,51738,2017,acs/acs5,,Basin
Total Housing Units,B25001_001E,51248,2018,acs/acs5,,Basin
Total Housing Units,B25001_001E,50915,2019,acs/acs5,,Basin
Total Housing Units,B25001_001E,48352,2011,acs/acs5,,Basin
Total Housing Units,B25001_001E,48337,2012,acs/acs5,,Basin
Total Housing Units: Occupied,B25002_002E,21751,2013,acs/acs5,,Basin
Total Population,P0010001,172796,1990,1990 Decennial Census,,Placer County
Total Population,P0010001,27637,1990,1990 Decennial Census,,Douglas County
Total Population,P0010001,254667,1990,1990 Decennial Census,,Washoe County
Total Population,P0010001,40443,1990,1990 Decennial Census,,Carson City County
Total Population,DP1_0001C,490596,2020,2020 Decennial Census,,Reno-Sparks MSA
Total Population,DP1_0001C,2397382,2020,2020 Decennial Census,,Sacramento MSA
Total Population,DP1_0001C,9714023,2020,2020 Decennial Census,,Sanfranciso CMSA
Total Population,DP1_0001C,191185,2020,2020 Decennial Census,,El Dorado County
Total Population,DP1_0001C,404739,2020,2020 Decennial Census,,Placer County
Total Population,DP1_0001C,49488,2020,2020 Decennial Census,,Douglas County
Total Population,DP1_0001C,486492,2020,2020 Decennial Census,,Washoe County
Total Population,DP1_0001C,58639,2020,2020 Decennial Census,,Carson City County
Total Population,DP1_0001C,39538223,2020,2020 Decennial Census,,CA
Total Population,DP1_0001C,3104614,2020,2020 Decennial Census,,NV
Total Population,P001001,425417,2010,2010 Decennial Census,,Reno-Sparks MSA
Total Population,P001001,2149127,2010,2010 Decennial Census,,Sacramento MSA
Total Population,P001001,7468390,2010,2010 Decennial Census,,Sanfranciso CMSA
Total Population,P001001,181058,2010,2010 Decennial Census,,El Dorado County
Total Population,P001001,348432,2010,2010 Decennial Census,,Placer County
Total Population,P001001,46997,2010,2010 Decennial Census,,Douglas County
Total Population,P001001,421407,2010,2010 Decennial Census,,Washoe County
Total Population,P001001,55274,2010,2010 Decennial Census,,Carson City County
Total Population,P001001,37253956,2010,2010 Decennial Census,,CA
Total Population,P001001,2700551,2010,2010 Decennial Census,,NV
Total Population,P001001,156299,2000,2000 Decennial Census,,El Dorado County
Total Population,P001001,248399,2000,2000 Decennial Census,,Placer County
Total Population,P001001,41259,2000,2000 Decennial Census,,Douglas County
Total Population,P001001,339486,2000,2000 Decennial Census,,Washoe County
Total Population,P001001,52457,2000,2000 Decennial Census,,Carson City County
Total Population,P001001,33871648,2000,2000 Decennial Census,,CA
Total Population,P001001,1998257,2000,2000 Decennial Census,,NV
Total Population,,47482,1980,1980 Decennial Census,Pulled from 1980 pdf reports,Basin
Household Income,,90056.94246,2022,acs/acs5,Not adjusted for inflation,Basin
Household Income,,85775.43103,2022,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,77899.36856,2022,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,95467.55109,2022,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,158333.1667,2022,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,120169.6477,2022,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,78923.60987,2022,acs/acs5,Not adjusted for inflation,South Lake
Total Population,P0010001,125995,1990,1990 Decennial Census,,El Dorado County
Total Population,P0010001,13599,1990,dec/sf3,,Nevada
Total Population,P0010001,38974,1990,dec/sf3,,California
Total Population,P001001,14431,2010,dec/sf1,,Nevada
Total Population,P001001,41176,2010,dec/sf1,,California
Total Population,P001001,16643,2000,dec/sf1,,Nevada
Total Population,P001001,46200,2000,dec/sf1,,California
Total Population,P001001,14273,2010,dec/sf1,,Nevada
Total Population,P001001,41259,2010,dec/sf1,,California
Total Population,DP1_0001C,15410,2020,dec/dp,,Nevada
Total Population,DP1_0001C,40426,2020,dec/dp,,California
Total Population,B01003_001E,15137,2021,acs/acs5,,Nevada
Total Population,B01003_001E,39360,2021,acs/acs5,,California
Total Population,B01003_001E,14811,2020,acs/acs5,,Nevada
Total Population,B01003_001E,39863,2020,acs/acs5,,California
Total Population,B01003_001E,14384,2019,acs/acs5,,Nevada
Total Population,B01003_001E,37955,2019,acs/acs5,,California
Total Population,B01003_001E,13724,2018,acs/acs5,,Nevada
Total Population,B01003_001E,37853,2018,acs/acs5,,California
Total Population,B01003_001E,14155,2017,acs/acs5,,Nevada
Total Population,B01003_001E,37476,2017,acs/acs5,,California
Total Population,B01003_001E,14049,2016,acs/acs5,,Nevada
Total Population,B01003_001E,38066,2016,acs/acs5,,California
Total Population,B01003_001E,14125,2015,acs/acs5,,Nevada
Total Population,B01003_001E,39130,2015,acs/acs5,,California
Total Population,B01003_001E,13526,2014,acs/acs5,,Nevada
Total Population,B01003_001E,39064,2014,acs/acs5,,California
Total Population,B01003_001E,13387,2013,acs/acs5,,Nevada
Total Population,B01003_001E,39281,2013,acs/acs5,,California
Total Population,B01003_001E,12370,2012,acs/acs5,,Nevada
Total Population,B01003_001E,39726,2012,acs/acs5,,California
Total Population,B01003_001E,12383,2011,acs/acs5,,Nevada
Total Population,B01003_001E,39329,2011,acs/acs5,,California
Total Population,P0010001,7494,1990,dec/sf3,,Washoe County (Tahoe Basin)
Total Population,P001001,9087,2010,dec/sf1,,Washoe County (Tahoe Basin)
Total Population,P001001,9952,2000,dec/sf1,,Washoe County (Tahoe Basin)
Total Population,DP1_0001C,9817,2020,dec/dp,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,9655,2021,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,9339,2020,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8853,2019,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8620,2018,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8901,2017,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8776,2016,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8973,2015,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8582,2014,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8654,2013,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8127,2012,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,B01003_001E,8347,2011,acs/acs5,,Washoe County (Tahoe Basin)
Total Population,P0010001,35757,1990,dec/sf3,,South Lake
Total Population,P001001,36072,2010,dec/sf1,,South Lake
Total Population,P001001,40733,2000,dec/sf1,,South Lake
Total Population,DP1_0001C,35966,2020,dec/dp,,South Lake
Total Population,B01003_001E,35937,2021,acs/acs5,,South Lake
Total Population,B01003_001E,36725,2020,acs/acs5,,South Lake
Total Population,B01003_001E,35696,2019,acs/acs5,,South Lake
Total Population,B01003_001E,35253,2018,acs/acs5,,South Lake
Total Population,B01003_001E,34920,2017,acs/acs5,,South Lake
Total Population,B01003_001E,34984,2016,acs/acs5,,South Lake
Total Population,B01003_001E,34648,2015,acs/acs5,,South Lake
Total Population,B01003_001E,34176,2014,acs/acs5,,South Lake
Total Population,B01003_001E,33989,2013,acs/acs5,,South Lake
Total Population,B01003_001E,33898,2012,acs/acs5,,South Lake
Total Population,B01003_001E,33874,2011,acs/acs5,,South Lake
Total Population,P0010001,9322,1990,dec/sf3,,Placer County (Tahoe Basin)
Total Population,P001001,10448,2010,dec/sf1,,Placer County (Tahoe Basin)
Total Population,P001001,12158,2000,dec/sf1,,Placer County (Tahoe Basin)
Total Population,DP1_0001C,10053,2020,dec/dp,,Placer County (Tahoe Basin)
Total Population,B01003_001E,8905,2021,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,8610,2020,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,7790,2019,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,7704,2018,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,7810,2017,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,8355,2016,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,9634,2015,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,9832,2014,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,10025,2013,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,10071,2012,acs/acs5,,Placer County (Tahoe Basin)
Total Population,B01003_001E,9491,2011,acs/acs5,,Placer County (Tahoe Basin)
Total Population,P0010001,16816,1990,dec/sf3,,North Lake
Total Population,P001001,19535,2010,dec/sf1,,North Lake
Total Population,P001001,22110,2000,dec/sf1,,North Lake
Total Population,DP1_0001C,19870,2020,dec/dp,,North Lake
Total Population,B01003_001E,18560,2021,acs/acs5,,North Lake
Total Population,B01003_001E,17949,2020,acs/acs5,,North Lake
Total Population,B01003_001E,16643,2019,acs/acs5,,North Lake
Total Population,B01003_001E,16324,2018,acs/acs5,,North Lake
Total Population,B01003_001E,16711,2017,acs/acs5,,North Lake
Total Population,B01003_001E,17131,2016,acs/acs5,,North Lake
Total Population,B01003_001E,18607,2015,acs/acs5,,North Lake
Total Population,B01003_001E,18414,2014,acs/acs5,,North Lake
Total Population,B01003_001E,18679,2013,acs/acs5,,North Lake
Total Population,B01003_001E,18198,2012,acs/acs5,,North Lake
Total Population,B01003_001E,17838,2011,acs/acs5,,North Lake
Total Population,P0010001,29652,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Total Population,P001001,30728,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Total Population,P001001,34042,2000,dec/sf1,,El Dorado County (Tahoe Basin)
Total Population,DP1_0001C,30373,2020,dec/dp,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,30455,2021,acs/acs5,,El Dorado County (Tahoe Basin)
Total Population,B01003_001E,31253,2020,acs/acs5,,El Dorado County (Tahoe Basin)
Household Income,,70919.88007,2019,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Total Population,B01003_001E,30165,2019,acs/acs5,,El Dorado County (Tahoe Basin)
Household Income,,69116.6799,2021,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,108151.8478,2021,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,63326.62646,2020,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,92721.62823,2020,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,60476.57437,2019,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,78754.74217,2019,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,58275.30966,2018,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,72571.73077,2018,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,55186.80115,2017,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,70151.03826,2017,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,53534.53023,2016,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,68180.36248,2016,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,51405.94544,2015,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,65021.05561,2015,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,48758.40568,2014,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,64518.59908,2014,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,49246.30966,2013,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,64299.19923,2013,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,48754.20277,2012,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,65143.68999,2012,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,48551.1189,2011,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,68918.84271,2011,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,50749.22479,2010,acs/acs5,Not adjusted for inflation,South Lake
Household Income,,67985.26307,2010,acs/acs5,Not adjusted for inflation,North Lake
Household Income,,42247.56101,2000,dec/sf3,Not adjusted for inflation,South Lake
Household Income,,57505.49938,2000,dec/sf3,Not adjusted for inflation,North Lake
Household Income,,29541.26238,1990,dec/sf3,Not adjusted for inflation,South Lake
Household Income,,34672.74167,1990,dec/sf3,Not adjusted for inflation,North Lake
Household Income,,135467.3727,2021,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,81952.84688,2021,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,67726.21519,2021,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,73716.19079,2021,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,118557.5399,2020,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,70462.58916,2020,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,61829.29966,2020,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,68444.9957,2020,acs/acs5,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,98994.9418,2019,acs/acs5,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,57676.82787,2019,acs/acs5,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,58062.97494,2019,acs/acs5,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,69561.44678,2000,dec/sf3,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,48711.37879,2000,dec/sf3,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,40659.12358,2000,dec/sf3,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,53625.5916,2000,dec/sf3,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,42752.55851,1990,dec/sf3,Not adjusted for inflation,Washoe County (Tahoe Basin)
Household Income,,30635.78799,1990,dec/sf3,Not adjusted for inflation,Placer County (Tahoe Basin)
Household Income,,28553.29752,1990,dec/sf3,Not adjusted for inflation,El Dorado County (Tahoe Basin)
Household Income,,36275,1990,dec/sf3,Not adjusted for inflation,Douglas County (Tahoe Basin)
Household Income,,79290.56452,2021,acs/acs5,Not adjusted for inflation,Basin
Household Income,,71585.91486,2020,acs/acs5,Not adjusted for inflation,Basin
Household Income,,66444.99121,2019,acs/acs5,Not adjusted for inflation,Basin
Household Income,,62518.41082,2018,acs/acs5,Not adjusted for inflation,Basin
Household Income,,59164.85307,2017,acs/acs5,Not adjusted for inflation,Basin
Household Income,,58140.00357,2016,acs/acs5,Not adjusted for inflation,Basin
Household Income,,56473.22021,2015,acs/acs5,Not adjusted for inflation,Basin
Household Income,,54298.72648,2014,acs/acs5,Not adjusted for inflation,Basin
Household Income,,53955.02873,2013,acs/acs5,Not adjusted for inflation,Basin
Household Income,,54498.39137,2012,acs/acs5,Not adjusted for inflation,Basin
Household Income,,54422.43284,2011,acs/acs5,Not adjusted for inflation,Basin
Household Income,,55758.1306,2010,acs/acs5,Not adjusted for inflation,Basin
Household Income,,46343.70284,2000,dec/sf3,Not adjusted for inflation,Basin
Household Income,,31007.79017,1990,dec/sf3,Not adjusted for inflation,Basin
Household Income (2021 Inflation Adjusted Dollars),,69116.6799,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,108151.8478,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,66386.52648,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,97201.87497,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,64242.27911,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,83658.57657,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,63027.64458,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,78489.93477,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,61145.07638,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,77724.93609,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,60575.3528,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,77147.39428,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,58918.32736,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,55980.31506,2014,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,74074.8483,2014,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,57482.82695,2013,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,75053.3343,2013,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,57769.89536,2012,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,77190.14854,2012,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,58732.14141,2011,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,83370.91518,2011,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,63349.25121,2010,acs/acs5,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,84864.65609,2010,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,66792.97566,2000,dec/sf3,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,90915.62515,2000,dec/sf3,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,59680.52602,1990,dec/sf3,Inflation adjustments used R-CPI-U-RS values,South Lake
Household Income (2021 Inflation Adjusted Dollars),,70047.3607,1990,dec/sf3,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,135467.3727,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,81952.84688,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,67726.21519,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,73716.19079,2021,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,124286.1605,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,73867.2941,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,64816.84986,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,71752.21188,2020,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,105159.076,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,61268.20033,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,61678.39169,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,74523.12777,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,North Lake
Household Income (2021 Inflation Adjusted Dollars),,75335.85983,2019,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,99528.23878,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,60229.39885,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,61814.97133,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,67574.05191,2018,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,95993.99303,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,63505.02684,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,59418.88604,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,67587.94107,2017,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,90501.30137,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,65134.57092,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,58455.31281,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,72788.69194,2016,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,85048.69632,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,62061.16641,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Placer County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,55836.2355,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,El Dorado County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,75519.07922,2015,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Douglas County (Tahoe Basin)
Household Income (2021 Inflation Adjusted Dollars),,80456.41646,2014,acs/acs5,Inflation adjustments used R-CPI-U-RS values,Washoe County (Tahoe Basin)
